Identifier,Card_name,SSN,ZIP,Phone,Amount
102,Francis Tedesco,870-03-0906,10726-9449,113-185-5051,1341
103,Jeffrey Doyle,133-03-3825,76101-1633,511-487-0985,4602
104,Bertha Rivera,913-42-1836,28430-4951,248-687-5970,3166
105,Ronald Anderson,745-95-1497,52816-2820,926-780-9764,1484
106,Geoffrey Salas,391-33-7646,69607-7416,226-314-2386,7822
107,Michael Whitaker,159-98-1748,92099-4372,492-685-6881,449
108,Alan Miyao,533-30-4340,44265-2861,778-877-7986,666
109,Victor Walker,377-99-9683,84776-6614,580-332-9303,4966
110,Ashley Mcmullen,714-94-1814,34195-2904,273-256-5633,3104
111,Robert Chance,238-70-1933,21212-1404,425-634-2815,1802
112,Betty Grimes,479-47-4380,27711-8522,689-417-6263,6151
113,Letha Escobar,474-07-1027,46868-7469,441-813-5353,4796
114,Adele Licursi,518-38-5937,86331-1488,965-763-8894,8048
115,Justin Aversano,386-01-2259,43517-8460,934-418-2343,1945
116,Edward Rothenbach,601-43-3613,55618-4953,553-082-4980,9165
117,May Brown,309-10-6950,60117-0922,492-201-0412,4637
118,Wade Kilpatrick,455-69-1196,18353-5721,811-535-7196,2884
119,Lance Tinsley,265-23-3824,22984-8184,326-314-0175,5150
120,Elizabeth Thompson,960-71-1455,29645-3788,776-010-4791,1021
121,John Baker,393-91-8206,08543-2059,731-833-0011,1554
122,Mary Messing,879-49-0959,57668-7115,974-064-9831,303
123,Tonia Colyer,741-46-3527,13045-5911,346-528-5431,8065
124,Nga Lehman,572-76-9253,98515-3682,470-360-1380,3510
125,Roy Hughey,306-60-8280,15870-5282,627-791-9531,9944
126,Clifford Vorhies,204-57-3222,17561-3266,954-287-0356,5412
127,Paul Yannone,459-78-5131,31046-8966,239-061-1131,6699
128,Ollie Rouse,449-92-9868,41216-8136,994-565-5472,3966
129,Dolores Porter,733-04-6948,45019-9663,997-079-9669,367
130,Earl Smith,870-83-1749,83557-7884,850-276-2372,3979
131,Donald Esposito,423-50-6917,66100-4423,452-805-9514,3867
132,Elizabeth Heitmann,482-31-2175,38796-0299,759-252-9731,7991
133,Verna Barton,971-48-6147,81655-2953,106-448-8941,7890
134,Barbara Ferrer,497-91-9164,35597-3207,448-439-6513,5405
135,Joseph Wellington,388-91-3103,65599-8986,803-394-7583,8513
136,Barbara Brown,911-27-1121,92947-1805,792-120-8629,9707
137,Karen Stumpff,919-49-3400,40865-7205,105-453-4269,3031
138,Stanley Collins,287-25-0798,22805-1798,795-117-5882,5316
139,Denise Fultz,445-49-1033,06363-7460,175-503-5484,3905
140,Tina Lee,968-14-9914,69489-8659,640-405-6207,7882
141,James Mcgregor,661-80-0761,73593-9221,203-547-0010,922
142,Ernest Walker,473-20-2690,71639-6157,283-421-6637,5500
143,Laura Coelho,466-60-6804,55028-5202,453-035-0943,9275
144,Dorothy Taylor,447-39-4738,79719-5536,859-625-2600,9837
145,June Murgia,429-55-2801,29719-5421,462-184-7492,883
146,Delmar Meister,562-87-2261,64799-2373,397-631-7914,468
147,Francis Adams,778-60-2287,68109-0427,768-730-5124,5429
148,Paulette Okura,519-70-5774,96785-7895,895-306-1659,257
149,Ryan Spitz,424-16-0492,18324-0023,472-178-8096,8105
150,John Burnett,820-19-5856,11016-9208,137-719-7501,8756
151,Amelia Rosario,433-86-3334,02454-2267,905-443-4389,8846
152,Moises Siebenaler,225-92-4744,14337-0901,478-200-0116,6967
153,Walter Zoellner,471-79-0793,42091-5110,481-253-9992,8259
154,Joseph Hassler,196-90-7175,87489-3176,641-119-3373,8479
155,Cindy Toscani,993-82-9021,08219-0786,911-393-5046,4837
156,Jeffrey Sheldon,995-82-3776,99402-3765,274-031-6869,277
157,Boyd Robles,116-59-7799,95939-2906,906-826-6108,1180
158,Jose Morris,167-31-1246,47165-6273,731-470-2917,9084
159,Roberto Pace,309-27-9804,85121-8687,692-417-4849,1382
160,Patricia Dabadie,302-46-6087,81212-6032,299-835-9187,9898
161,Dianne Harris,107-39-4585,54883-3438,776-275-5646,6978
162,Michael Foltz,970-87-0158,51398-0650,753-622-5121,286
163,Doris Smith,447-80-0973,78163-3654,484-616-9848,4460
164,Duane Jackson,452-22-6730,74575-0121,818-802-9534,415
165,Richard Alexander,180-94-7104,58448-0177,529-737-1852,235
166,Miguel Harvey,662-89-2381,54382-2515,486-211-0590,3616
167,Saul Tucker,775-59-7796,26367-1039,807-820-3417,702
168,David Hernandez,649-86-5148,75878-2119,602-674-5527,5394
169,Deanna Gardner,113-48-0380,41472-4597,619-234-9122,412
170,Romeo Flowers,184-60-7966,38647-7413,866-256-8046,4308
171,Tarsha Jacobs,824-01-4055,44859-8580,871-731-7811,8074
172,Sharon Tomidy,639-08-1784,54178-8048,355-781-1796,9996
173,Jack Silva,487-13-6714,43213-4362,236-154-4446,6714
174,Wendi Sweed,230-62-9421,67683-4987,891-801-5195,4246
175,George Burns,680-39-9381,58152-8753,231-798-0687,467
176,Mark Guerra,495-01-8705,43526-6576,683-700-9427,7940
177,Byron Michaels,132-74-3556,87903-5495,827-514-6151,4599
178,Jennifer White,270-77-2908,52899-4593,269-385-7612,7125
179,Christine Rich,573-23-7416,91321-0234,992-869-0661,8622
180,Fred Fuller,295-02-8280,28056-7651,363-480-6042,8113
181,Maria Mcmillan,885-06-8341,98661-4896,745-314-6395,8127
182,Katie Carmichael,581-63-6364,52843-7022,726-443-8557,6654
183,Beverly York,374-84-7439,96906-2127,166-430-7687,6713
184,Anne Nunez,446-79-9991,23447-7821,861-312-4072,8222
185,Maria Bennett,657-84-1629,24951-2799,118-427-4811,8902
186,Daniel Dow,878-22-9428,81858-3162,723-853-7334,3577
187,Shane Chan,788-84-0666,10214-4435,686-607-7905,5109
188,Sharon Atkinson,558-63-7859,65877-8295,495-704-5436,7771
189,Thomas Hurley,373-55-3693,21471-9622,844-359-9909,5846
190,Brian Cerda,881-06-0513,24242-7946,928-131-5653,5854
191,Dennis Bryant,850-95-5364,15911-7886,415-591-7551,9747
192,Cory Cardenas,491-63-3858,32521-7112,246-531-3357,2865
193,Mary Lynch,720-76-0379,24076-1905,414-088-7496,9324
194,Pauline Morris,647-81-3272,07130-8453,243-258-1911,5723
195,Maria Crabtree,680-43-3184,05011-1473,268-369-8401,3694
196,Justin Dyer,808-20-4822,97833-1548,820-489-9481,925
197,Michael Neira,646-69-2978,77500-2251,141-566-9825,1924
198,James Skinner,547-80-1735,19286-9224,288-693-6871,9463
199,Jacqueline Kellam,817-33-6285,27507-5884,748-206-4395,431
200,Debra Ottinger,322-09-6056,47999-1637,109-647-9688,5645
201,Billy Brown,940-51-2446,12556-6172,458-002-5223,2481
202,Marie Sharp,890-87-6737,64001-2059,980-337-1620,5907
203,Cameron Standifer,927-69-8026,43994-9396,758-197-1474,8771
204,Jose Mccoy,206-34-6917,68455-3329,656-392-0686,9027
205,Roy Reynoso,465-47-6540,79591-3667,496-730-9472,4810
206,Jose Mcnabb,464-98-6742,78275-9341,394-252-2068,6360
207,Margarita Gillaspie,787-34-0116,58194-9881,971-572-1625,7529
208,Stephanie Ballard,313-59-6013,37614-1564,454-821-9140,7344
209,William Segal,319-12-5190,18394-6855,314-706-3103,7962
210,Kathy Cote,112-49-6857,12523-3089,771-770-8513,434
211,Gloria Sweet,308-76-6966,94014-2135,522-842-2655,8287
212,Jessica Covington,354-84-6871,23321-4354,547-772-0319,1992
213,Florence Donaway,425-15-0277,36126-5320,381-258-1397,386
214,Christine Wieland,312-82-4882,22170-7301,102-463-4833,9577
215,Lyle Cole,176-28-4945,93125-5506,382-797-6004,8721
216,Annie Eis,187-27-2620,71596-1640,141-429-0534,6066
217,Nelson Bille,341-74-7120,98905-1481,734-044-3232,5018
218,Norman Desrochers,752-42-4803,51944-0189,722-002-2375,5468
219,Mary Brown,934-21-3939,08166-3091,188-207-8375,6836
220,Porter Steedley,764-67-8096,45018-7131,757-405-6672,913
221,Miriam Gomez,107-97-2153,32535-5422,813-324-1772,809
222,Michelle Walls,597-83-1088,56031-9654,203-658-3964,4931
223,Rose Santiago,103-40-7263,16240-5378,423-086-2940,2462
224,Betty Reidinger,842-35-3237,08586-7893,283-546-3858,4549
225,Joe Baker,627-70-2300,79695-8081,821-498-8601,8021
226,Eric Liddle,743-88-5584,38920-4015,725-618-1535,5507
227,Marilyn Connor,412-18-3031,50281-0968,542-579-8410,3349
228,Shane Ashley,892-42-6610,45202-5433,337-522-5482,9855
229,Harry Miller,825-38-5736,22153-1472,377-528-6257,3714
230,Patricia Garnett,561-62-6794,73445-4524,554-112-9276,9401
231,Ronald Tunnell,281-77-7437,60057-0102,100-668-6699,9354
232,Joseph Kim,314-34-6873,81312-2617,994-083-5647,713
233,Jacob Muniz,767-56-8037,18512-9140,914-302-8931,212
234,Lula Steier,163-44-8052,74364-5534,857-060-0770,8965
235,Tina Lachance,451-81-0803,89144-7442,480-187-1620,8207
236,Michele Jamison,431-64-5979,90870-1108,352-368-8507,9142
237,Deborah Duncan,756-81-7190,51060-4453,951-036-5435,5795
238,John Glover,168-12-8763,61370-4641,661-242-9379,8892
239,Lucy Roberts,390-84-4844,03819-6627,329-325-1466,2361
240,Constance Teano,738-56-5593,03116-7466,988-692-1323,9008
241,Eva Ellis,770-83-7457,14587-2160,156-102-5264,7416
242,Edward Lee,214-45-7323,39397-5400,611-400-6618,6817
243,Hector Rodriquez,761-53-8953,39036-9943,609-351-5883,9078
244,Maryanne Dunn,133-51-8875,20388-8016,746-048-2162,9098
245,David Martin,459-82-0107,58285-0114,559-096-8898,8617
246,Sharon Foster,462-03-9698,79824-5319,449-140-6771,3554
247,Catherine Goto,581-65-6975,20345-6785,450-033-7277,2538
248,Crystal Craghead,325-88-0966,03494-4895,516-626-2827,6540
249,John Mellow,412-66-8789,23383-9464,465-478-7621,6953
250,James Cordova,299-78-8820,20535-1283,345-364-9518,81
251,Linda Altom,996-28-1881,55204-8388,737-795-0213,3744
252,Phyllis Wright,617-52-1934,59352-8753,792-592-3604,6869
253,Joseph Pelchat,662-07-4299,84097-2272,891-835-8910,266
254,Jose Davino,426-44-0837,55070-5564,177-253-1471,8286
255,Annette Tefft,562-88-2448,17331-9202,721-183-6828,3696
256,Patricia Brooks,620-76-0298,47130-9681,551-247-4935,3974
257,Jessica Bullion,712-84-9921,22088-1351,728-688-1766,5439
258,Oleta Obrien,724-53-4101,12179-3970,104-506-0960,8009
259,Margaret Geimer,593-35-8723,14727-3314,116-160-0856,1990
260,Kyle Loehr,790-29-4813,62700-3138,907-726-7844,8990
261,Marjorie Matthews,266-32-3296,03631-6164,237-199-7111,9757
262,James Ralston,602-95-3977,43229-4331,250-817-0650,8434
263,David Hutchinson,349-99-4437,46536-9666,309-169-9174,2568
264,Paul Thibeault,937-45-3087,33119-7257,832-023-3419,8776
265,Francisco Reece,685-92-5341,68051-0629,168-158-8815,4336
266,Michael Epstein,252-09-6299,40832-7304,898-005-3264,7936
267,Trenton Tovar,298-98-3368,56818-3651,510-799-9052,8050
268,Leonard Cepeda,948-79-9890,99215-7763,926-677-7824,5332
269,Jessica Carstarphen,313-49-2675,01946-8549,810-640-0153,4742
270,John Silva,597-89-4939,78129-6481,828-473-8566,7067
271,Angela Edward,729-11-1565,93525-5521,509-278-0366,5689
272,Michele Mitchell,885-92-5042,28098-9220,885-877-7199,2050
273,Keith Haynes,323-04-0894,45729-4811,821-748-2862,9257
274,Rafael Phillis,457-12-7376,21330-2901,597-883-3246,7574
275,Bennett Hurt,397-40-8068,95202-4606,175-199-7609,5367
276,Michael Griffin,485-36-3646,26175-1947,131-333-6332,5428
277,Joanne Pilcher,792-72-6089,46202-6193,967-121-6523,1848
278,Joseph Gonzalez,643-78-1790,20230-4945,286-395-9986,8178
279,Bill Reese,741-42-6435,33510-2748,844-559-6931,2079
280,Ernest Bensman,478-16-8767,53179-0454,419-182-6764,2372
281,Carlos Williams,892-19-7784,87432-1273,665-274-8586,4849
282,Dawn Holland,724-76-6303,24354-6396,944-124-6812,9761
283,Samuel Bell,639-45-4370,53964-1284,958-757-1440,4977
284,Raquel Nord,646-20-2240,10075-9330,458-653-0151,2802
285,Marsha Harris,929-10-2513,32763-8777,895-555-7886,3277
286,Jeremy Fears,195-33-0733,08833-3538,403-747-6392,3343
287,Leticia Barton,808-83-3601,42469-7418,682-453-8128,6874
288,Richard Neal,770-65-5832,73124-9958,464-828-7810,5379
289,Edward Koch,845-50-9161,12862-2778,617-518-4002,2483
290,Christopher Savoy,456-95-1731,20918-9923,127-372-3765,609
291,Mary Naquin,815-95-8244,77114-9967,940-254-5044,218
292,Randall Collins,823-75-7701,06337-7175,999-260-7060,9075
293,Patrick Taylor,125-26-8898,34101-3503,547-285-4618,9802
294,John Ortiz,923-53-0339,70336-0998,229-026-3966,474
295,Elizabeth Taylor,522-86-6967,64697-1201,238-627-8151,121
296,Karen Polan,703-71-9157,02205-0800,309-576-9059,6289
297,Louise Goodman,349-14-1316,77886-3082,987-680-8111,8905
298,Philip Koons,980-44-6801,22457-8071,611-057-9029,7142
299,Rose Keith,644-40-3513,98916-3265,583-046-0289,3906
300,Elaine Rochon,605-60-2828,68286-4767,814-740-1649,7313
301,Jodi Tovar,746-83-9563,75351-9305,803-865-3739,8663
302,Jose Nash,701-37-8536,11487-2464,689-080-8834,1530
303,Harold Christenson,653-61-5968,48850-8936,347-156-6949,461
304,Robert Boyd,200-93-0031,00107-5479,682-676-4985,6889
305,Thomas Williams,448-98-5692,85926-5076,904-846-2323,2701
306,Marcus Blansett,570-20-8720,71637-3706,750-671-3507,7173
307,Herbert Nixon,380-07-1028,76122-4978,365-629-9361,6051
308,Russell Stein,562-24-8091,01596-9404,570-301-4596,8394
309,Eugene Brown,770-39-8359,54081-5801,250-704-4180,4713
310,Teri Pray,255-21-9708,09291-5386,331-561-6830,7531
311,Martin Angert,172-87-3948,36694-5669,311-252-0653,4186
312,Maria Garza,613-88-2650,13165-4922,620-799-2227,6933
313,Andrew Goldberg,571-05-1983,73935-2443,988-282-9654,175
314,Alexander Melton,926-67-5773,46151-0629,468-228-4328,1467
315,Janis Bekins,869-43-7005,94799-0238,919-225-0299,5208
316,Donald Bulle,458-30-1845,84136-9781,636-618-1232,7704
317,Thao Batton,956-53-7955,52491-0139,604-276-8835,2518
318,Gabriella Brown,836-78-9477,56619-3825,322-032-5848,6657
319,Billie Mcclain,625-12-9389,56446-9344,487-430-7214,7985
320,Linda Carpenter,716-92-9717,60951-4816,668-384-7009,2006
321,Thomas Getz,578-39-0497,00553-2876,825-793-4268,3432
322,Kaycee Saville,449-69-7853,90438-9387,386-554-4763,1973
323,Janice Tuohy,221-85-9188,59546-8814,967-690-5558,268
324,Kimberly Matos,836-39-1683,08853-0225,690-298-0061,8378
325,Mercedes Durtsche,728-48-0682,87666-0717,851-857-0055,1856
326,Harry Cargill,895-75-2975,11913-2087,474-735-2039,2500
327,Sandra Huppert,910-40-2985,51562-6286,484-863-5803,1726
328,Kenneth Shubert,448-62-3671,78348-2872,710-511-7862,630
329,Adam Miller,488-44-8816,96207-3603,820-375-9101,3964
330,Damien Quinn,939-02-6105,85315-8979,914-160-2589,1904
331,Ann Ostrowski,446-73-7313,14091-0489,118-405-9679,1827
332,Mirella Smith,309-59-6823,05359-6464,350-861-1738,1432
333,Nicholas Dudley,679-95-9426,53133-4637,879-144-3290,2286
334,Flor Kreitner,423-56-7023,22434-6231,409-282-7619,1414
335,Germaine Hodgson,589-25-2616,03447-5224,711-740-4231,3125
336,Hattie Barnes,591-07-3146,82586-6881,331-310-1008,8901
337,Martha Stults,143-64-0022,67998-3294,631-148-3748,5107
338,John Dehart,263-14-2678,67356-5838,713-361-5482,9251
339,Lamont Clemens,631-28-1837,78099-4032,953-808-9323,8124
340,Inez Carroll,802-16-7015,88822-0529,305-495-1911,9467
341,Mary Spiers,293-68-0352,54420-8069,748-510-4142,2868
342,Coral Mccollum,265-49-2631,67227-0782,307-404-6708,9611
343,Laveta Henderson,221-54-5496,26211-5543,144-445-1002,4371
344,Bernadette Dirksen,625-98-3693,59994-3016,489-073-7598,3059
345,Lewis Stowers,791-59-0978,74436-3231,951-831-3395,3238
346,Jean Guidice,213-15-3263,27834-0585,759-688-5359,259
347,Katie Massengill,637-14-1706,26218-1953,122-860-2333,5434
348,Rudy Flowers,675-92-1399,38490-5301,553-517-7526,9234
349,Manuel Locklear,733-11-0155,43247-4994,794-431-8296,7572
350,Mary Salem,284-33-7502,18859-2958,136-134-2450,5814
351,Daniel Wyndham,694-68-2395,75547-6801,919-227-8040,1077
352,Jennifer Hendricks,416-85-4811,36137-0906,871-076-0750,7781
353,Shauna Ledwell,958-74-9250,50146-1811,170-551-0468,7481
354,Armand Murphy,726-29-5278,99191-9321,102-559-5321,5960
355,Bert Gamboa,384-98-2143,65233-2660,779-068-5930,562
356,Amy Duffie,849-82-8116,49806-3637,146-222-7704,8636
357,Bernice Robinson,270-43-3273,53742-6344,661-073-9485,3182
358,Patrick Hellman,344-17-6451,16873-9177,304-809-5066,1159
359,Tommy Singleton,585-49-0991,82815-7251,415-031-3640,3474
360,Dora Kreps,703-24-9981,81649-5942,596-653-2926,7809
361,Evelyn Kiser,910-03-4613,06030-8599,878-244-5633,2587
362,Diane Williams,200-07-7019,29847-3537,741-055-1010,1877
363,Tessie Carter,134-20-3463,67241-6547,961-883-7408,7339
364,Lawrence Thornton,412-10-3167,63731-3675,424-551-6171,8350
365,John Abercrombie,120-74-7372,74942-1282,147-045-8451,202
366,Linda Midden,487-56-7754,70817-1820,116-190-9025,1835
367,George Beckstrom,312-36-1226,20091-2707,173-248-8000,3384
368,Theresa Turner,831-46-8056,39758-0462,795-803-9076,1516
369,Timothy Brewer,537-43-0288,41830-1865,666-514-3916,6491
370,William Bertolino,773-05-1886,17197-8656,160-226-7249,495
371,Myrtle Cundiff,706-77-7710,81142-2945,111-129-0717,2306
372,Ricky Helton,550-26-7334,71629-6818,272-464-3876,6084
373,Anh Burgess,615-01-4129,33608-0217,584-098-5238,4794
374,Robert Torres,351-06-3742,48029-2257,795-546-7041,4023
375,Sarah Matthews,952-97-5182,05831-8440,763-587-7268,612
376,Sheri Piper,908-93-8298,28333-7287,877-584-3933,1957
377,Sana Sanchez,383-97-0543,87433-4425,353-069-4383,5295
378,Rhonda Brown,500-47-3407,54625-0983,851-385-7922,3754
379,Alan Jones,349-25-5176,98495-4083,501-678-2955,3388
380,Darla Jackson,118-80-1726,77246-4363,395-726-4796,4261
381,Audrey Branam,150-12-3590,25323-5526,984-619-4291,9525
382,Alfred Kostura,920-46-9796,87312-1721,105-218-3683,6401
383,Jerry Fournier,839-14-8770,91013-4393,336-479-0113,5748
384,Andre Salazar,500-35-3270,64497-6081,191-856-6500,8754
385,Robert Salmon,923-24-7183,38512-0953,430-070-8141,3662
386,Julie Frank,562-59-3587,34716-1766,110-732-5999,3667
387,Aide Schug,996-76-1536,47077-4665,561-676-8115,1946
388,Michael Bassetti,889-65-8987,25527-5580,150-282-9243,9759
389,Barry Johnson,286-89-2038,30487-3952,793-279-3315,9661
390,John Boren,926-44-9571,26117-3081,277-616-9156,9135
391,Krystal Pelcher,288-10-4252,89790-6201,359-259-8404,2540
392,Ronald Maston,830-97-7097,15948-8765,190-814-1730,4819
393,Timothy Woodward,410-27-2183,32956-2768,517-387-8659,9811
394,Pearl Nava,211-88-3987,45395-6401,164-791-5700,7398
395,Denise Jones,754-27-5075,03521-8743,758-634-4346,5882
396,Michelle Underwood,358-07-1753,87693-0717,972-271-7040,6074
397,Susan Williams,935-19-8915,70078-7107,556-460-6697,7397
398,David Quigley,611-34-2207,89773-1795,518-723-6847,3807
399,Kenneth Holtzclaw,185-15-3292,33284-3294,359-804-1678,5956
400,Robin Bormann,937-80-8276,67001-4926,252-783-8843,5530
401,Bethany Trombetta,354-29-2154,96530-1407,643-570-9513,6152
402,Mary Frey,563-26-8143,13707-8195,529-830-0305,9863
403,Steven Neilan,994-80-8121,55337-9058,425-188-6554,239
404,Florentina Sanchez,205-47-6952,46258-2941,984-744-8617,2476
405,Julissa Smith,657-23-0023,19320-1998,830-308-0579,6182
406,Sandra Hamlin,519-83-9357,37632-4829,814-833-5302,7615
407,William Dance,724-17-9705,22802-7964,795-763-0205,5937
408,Alan Reyes,826-17-6394,38596-4049,130-014-4064,7681
409,Lashanda Hanna,477-93-8694,70646-9508,475-207-1220,4651
410,Linda Warren,657-26-3346,90405-3942,311-867-0691,1478
411,Diane Gural,467-29-8187,10182-7826,321-662-9752,8954
412,Shirley Dubberly,932-82-0818,25262-5871,701-191-5680,1730
413,Cheryl Nickerson,893-53-9908,55899-4401,663-556-4574,5872
414,Clara Johnson,798-60-0689,42953-1693,528-818-1695,2936
415,Norman Stowell,653-42-3299,18409-7596,810-506-2479,8789
416,Buck Johnson,422-21-0467,82233-5755,535-617-0120,9956
417,Wendy Brown,433-63-1199,66406-2125,467-181-9603,902
418,Roy Parker,670-79-6594,08217-7552,589-342-0126,5871
419,Stanley Wong,940-40-9392,52566-7900,100-273-3453,6860
420,Larry Addison,650-23-3691,41797-9990,638-589-8961,5743
